Latest: Time (s),Latest: Force (N),Latest: Position (m),Latest: Velocity (m/s),Latest: Acceleration (m/s²)
0.002,0.003364953,,,
0.004,-0.002905854,,,
0.006,-0.002905854,,,
0.008,-0.002905854,,,
0.01,-0.002905854,,,
0.012,-0.002905854,,,
0.014,0.003364953,,,
0.016,-0.002905854,,,
0.018,-0.002905854,,,
0.02,-0.002905854,,,
0.022,-0.002905854,,,
0.024,-0.002905854,,,
0.026,-0.002905854,,,
0.028,0.003364953,,,
0.03,-0.002905854,,,
0.032,-0.002905854,,,
0.034,-0.002905854,,,
0.036,0.003364953,,,
0.038,0.003364953,0.086245929,0.005380392,-0.145059592
0.04,0.003364953,,,
0.042,-0.002905854,,,
0.044,-0.002905854,,,
0.046,-0.002905854,,,
0.048,0.003364953,,,
0.05,-0.002905854,,,
0.052,-0.002905854,,,
0.054,-0.002905854,,,
0.056,0.003364953,,,
0.058,0.003364953,,,
0.06,-0.002905854,,,
0.062,0.003364953,,,
0.064,-0.002905854,,,
0.066,-0.002905854,,,
0.068,0.003364953,,,
0.07,0.003364953,,,
0.072,0.003364953,0.086520329,0,-0.096706395
0.074,0.003364953,,,
0.076,0.003364953,,,
0.078,-0.002905854,,,
0.08,-0.002905854,,,
0.082,-0.002905854,,,
0.084,-0.002905854,,,
0.086,0.003364953,,,
0.088,0.003364953,,,
0.09,0.003364953,,,
0.092,0.003364953,,,
0.094,0.003364953,,,
0.096,-0.002905854,,,
0.098,0.003364953,,,
0.1,0.003364953,,,
0.102,0.003364953,,,
0.104,0.003364953,,,
0.106,0.003364953,0.086245929,-0.002690196,-0.004945213
0.108,-0.002905854,,,
0.11,-0.002905854,,,
0.112,-0.002905854,,,
0.114,0.003364953,,,
0.116,0.003364953,,,
0.118,-0.002905854,,,
0.12,-0.002905854,,,
0.122,-0.002905854,,,
0.124,-0.002905854,,,
0.126,-0.002905854,,,
0.128,-0.002905854,,,
0.13,0.003364953,,,
0.132,-0.002905854,,,
0.134,-0.002905854,,,
0.136,-0.002905854,,,
0.138,-0.002905854,,,
0.14,-0.002905854,0.086245929,0,0.067584583
0.142,-0.002905854,,,
0.144,-0.002905854,,,
0.146,0.003364953,,,
0.148,-0.002905854,,,
0.15,-0.002905854,,,
0.152,-0.009176661,,,
0.154,-0.009176661,,,
0.156,-0.002905854,,,
0.158,-0.002905854,,,
0.16,-0.002905854,,,
0.162,-0.002905854,,,
0.164,-0.002905854,,,
0.166,-0.002905854,,,
0.168,-0.002905854,,,
0.17,-0.002905854,,,
0.172,0.003364953,,,
0.174,0.003364953,0.086245929,0.003362745,0.039561707
0.176,0.003364953,,,
0.178,0.003364953,,,
0.18,0.003364953,,,
0.182,-0.002905854,,,
0.184,-0.002905854,,,
0.186,0.003364953,,,
0.188,0.003364953,,,
0.19,0.003364953,,,
0.192,0.003364953,,,
0.194,0.003364953,,,
0.196,-0.002905854,,,
0.198,-0.002905854,,,
0.2,-0.002905854,,,
0.202,-0.002905854,,,
0.204,-0.002905854,,,
0.206,0.003364953,,,
0.208,0.003364953,0.086520329,0.003362745,-0.041210111
0.21,-0.002905854,,,
0.212,-0.002905854,,,
0.214,-0.002905854,,,
0.216,-0.002905854,,,
0.218,-0.002905854,,,
0.22,-0.002905854,,,
0.222,-0.002905854,,,
0.224,0.003364953,,,
0.226,-0.002905854,,,
0.228,-0.002905854,,,
0.23,-0.002905854,,,
0.232,0.003364953,,,
0.234,0.003364953,,,
0.236,-0.002905854,,,
0.238,-0.002905854,,,
0.24,-0.002905854,,,
0.242,-0.002905854,0.086520329,0,-0.080771819
0.244,-0.002905854,,,
0.246,-0.002905854,,,
0.248,-0.002905854,,,
0.25,0.003364953,,,
0.252,-0.002905854,,,
0.254,0.003364953,,,
0.256,-0.002905854,,,
0.258,-0.002905854,,,
0.26,-0.002905854,,,
0.262,-0.002905854,,,
0.264,0.003364953,,,
0.266,-0.002905854,,,
0.268,0.003364953,,,
0.27,0.003364953,,,
0.272,-0.002905854,,,
0.274,0.003364953,,,
0.276,0.003364953,0.086520329,-0.003362745,-0.02967128
0.278,0.003364953,,,
0.28,0.003364953,,,
0.282,0.003364953,,,
0.284,0.003364953,,,
0.286,0.003364953,,,
0.288,0.003364953,,,
0.29,0.003364953,,,
0.292,0.003364953,,,
0.294,0.003364953,,,
0.296,0.003364953,,,
0.298,0.003364953,,,
0.3,0.003364953,,,
0.302,0.003364953,,,
0.304,0.003364953,,,
0.306,0.003364953,,,
0.308,0.00963576,,,
0.31,0.003364953,0.086245929,-0.002690196,0.052748943
0.312,0.003364953,,,
0.314,-0.002905854,,,
0.316,0.003364953,,,
0.318,-0.002905854,,,
0.32,0.003364953,,,
0.322,0.003364953,,,
0.324,0.003364953,,,
0.326,0.003364953,,,
0.328,-0.002905854,,,
0.33,-0.002905854,,,
0.332,0.003364953,,,
0.334,-0.002905854,,,
0.336,-0.002905854,,,
0.338,-0.002905854,,,
0.34,0.003364953,,,
0.342,0.003364953,,,
0.344,-0.002905854,0.086245929,0.002017647,0.028022876
0.346,-0.002905854,,,
0.348,-0.002905854,,,
0.35,-0.002905854,,,
0.352,-0.002905854,,,
0.354,-0.002905854,,,
0.356,-0.002905854,,,
0.358,0.003364953,,,
0.36,-0.002905854,,,
0.362,-0.002905854,,,
0.364,-0.002905854,,,
0.366,-0.002905854,,,
0.368,-0.002905854,,,
0.37,-0.002905854,,,
0.372,-0.002905854,,,
0.374,-0.002905854,,,
0.376,0.003364953,,,
0.378,-0.002905854,0.086520329,0,-0.039561707
0.38,-0.002905854,,,
0.382,-0.002905854,,,
0.384,0.003364953,,,
0.386,-0.002905854,,,
0.388,-0.002905854,,,
0.39,0.003364953,,,
0.392,-0.002905854,,,
0.394,-0.002905854,,,
0.396,0.003364953,,,
0.398,-0.002905854,,,
0.4,0.003364953,,,
0.402,0.003364953,,,
0.404,-0.002905854,,,
